timestamp,model,launcher,command,agent_name,phase(s),path
2026-07-26T17:05:20Z,GPT-5,Codex Desktop,execute,unknown-agent,PHASE_16,.conduct/specs/2026-07-25-new-17dd6c3e-spec/phase-reports/PHASE_16-2026-07-26-4a7b3cce-report.md
2026-07-26T17:11:35Z,GPT-5,Codex Desktop,execute,unknown-agent,PHASE_16,.conduct/specs/2026-07-25-new-17dd6c3e-spec/phase-reports/PHASE_16-2026-07-26-1fe3ea35-report.md
2026-08-03T04:34:54Z,GPT-5,Codex Desktop,document-issue,unknown-agent,,.conduct/issues/2026-08-03-dhu1z1rz-issue.md
2026-08-03T05:31:28Z,GPT-5,Codex Desktop,execute,unknown-agent,PHASE_16,.conduct/specs/2026-07-25-new-17dd6c3e-spec/phase-reports/PHASE_16-2026-08-03-c7970a47-report.md
2026-08-03T12:37:56Z,GPT-5,Codex Desktop,execute-issue,unknown-agent,,.conduct/issue-completions/2026-08-03-8f6c2a1d-completion.md
2026-08-03T13:25:25Z,GPT-5,Codex Desktop,execute-issue,unknown-agent,,.conduct/issue-completions/2026-08-03-4c9d1e7b-completion.md
2026-08-03T15:55:29Z,GPT-5,Codex Desktop,execute-issue,unknown-agent,,.conduct/issue-completions/2026-08-03-7f3c9a2e-completion.md
2026-08-04T02:00:25Z,GPT-5,Codex Desktop,execute-issue,unknown-agent,,.conduct/issue-completions/2026-08-04-32192064-completion.md
2026-08-04T12:19:39Z,GPT-5,Codex Desktop,execute-issue,unknown-agent,,.conduct/issue-completions/2026-08-04-yh02xrqp-completion.md
2026-08-05T12:04:29Z,GPT-5,Codex Desktop,execute-issue,unknown-agent,,.conduct/issue-completions/2026-08-05-05fc074e-completion.md
2026-08-27T06:06:46Z,GPT-5,Codex Desktop,spec,unknown-agent,,.conduct/specs/2026-08-27-new-f3c333cf-spec
2026-08-27T06:51:15Z,GPT-5,Codex Desktop,execute-issue,unknown-agent,,.conduct/issue-completions/2026-08-27-ski6mcpf-completion.md
2026-08-30T04:27:43Z,GPT-5,Codex Desktop,execute-issue,unknown-agent,,.conduct/issue-completions/2026-08-30-33cfc7a1-completion.md
2026-08-30T11:12:02Z,GPT-5,Codex Desktop,execute-issue,Codex /root,,.conduct/issue-completions/2026-08-30-9f2c1a7b-completion.md
2026-08-30T13:22:51Z,GPT-5,Codex Desktop,execute-issue,Codex /root,,.conduct/issue-completions/2026-08-30-7785fc18-completion.md
2026-08-31T07:29:59Z,GPT-5,Codex Desktop,execute-issue,Codex /root,,.conduct/issue-completions/2026-08-31-native-private-use-oauth-redirects-completion.md
